date-time,atmospheric pressure (mBar),rainfall (mm),wind speed (m/s),wind direction (degrees),surface temperature (C),relative humidity (%),solar flux (Kw/m2),battery (V)
02/10/2015 05:57,1026,0,0,0,10.63,82.9,0,13.76
02/10/2015 05:58,1026,0,0,0,10.57,83,0,13.76
02/10/2015 05:59,1026,0,0,0,10.58,83.3,0,13.76
02/10/2015 06:00,1026,0,0,0,10.63,83.6,0,13.76
02/10/2015 06:01,1026,0,0,0,10.62,83.7,0,13.76
02/10/2015 06:02,1026,0,0,0,10.57,83.8,0,13.76
02/10/2015 06:03,1026,0,0,0,10.6,84,0,13.76
02/10/2015 06:04,1026,0,0,0,10.62,84.1,0,13.76
02/10/2015 06:05,1026,0,0,0,10.52,84.3,0,13.76
02/10/2015 06:06,1026,0,0,0,10.56,84.5,0,13.76
02/10/2015 06:07,1026,0,0,0,10.51,84.6,0,13.76
02/10/2015 06:08,1026,0,0,0,10.45,84.7,0,13.76
02/10/2015 06:09,1026,0,0,0,10.42,84.7,0,13.76
02/10/2015 06:10,1026,0,0,0,10.34,84.9,0,13.76
02/10/2015 06:11,1026,0,0,0,10.34,85.2,0,13.76
02/10/2015 06:12,1026,0,0,0,10.28,85.3,0,13.76
02/10/2015 06:13,1026,0,0,0,10.24,85.5,0,13.76
02/10/2015 06:14,1026,0,0,0,10.22,85.8,0,13.76
02/10/2015 06:15,1026,0,0,0,10.19,86,0,13.76
02/10/2015 06:16,1026,0,0,0,10.18,86.1,0,13.76
02/10/2015 06:17,1026,0,0,0,10.15,86.3,0,13.76
02/10/2015 06:18,1026,0,0,0,10.16,86.6,0,13.76
02/10/2015 06:19,1026,0,0,0,10.16,86.8,0,13.76
02/10/2015 06:20,1026,0,0,0,10.13,86.8,0,13.76
02/10/2015 06:21,1026,0,0,0,10.09,87,0,13.76
02/10/2015 06:22,1026,0,0,0,10.07,87,0,13.76
02/10/2015 06:23,1026,0,0,0,10.01,87.2,0,13.76
02/10/2015 06:24,1026,0,0,0,10.01,87.3,0,13.76
02/10/2015 06:25,1026,0,0,0,9.98,87.4,0,13.76
02/10/2015 06:26,1026,0,0,0,9.95,87.6,0,13.76
02/10/2015 06:27,1026,0,0,0,9.92,87.8,0,13.76
